Format Version,1.0,
Take Name,TrunkStability_DS_MOCAP_Raw_9,
Capture Frame Rate,1920.00,
Export Frame Rate,120.00,
Capture Start Time,09 Aug 2021 09:22:57 -0400,
Total Frames In Take,1605,
Total Exported Frames,25680,
Coordinate Space,Local,
Device Name,NIDAQ USB-6343 (BNC) 31369206,
Device Type,1,
Device Channel Count,10,
Mocap Rate,120.00,
Mocap Rate Multiple,16.00

MocapFrame, MocapTime, DeviceFrame,ESR,ESL,IntOblR,IntOblL,LatR,LatL,AbsR,AbsL,ExtOblR,ExtOblL
11,0.091667,183,-0.000054,-0.009253,0.020642,0.027213,0.012429,-0.010238,-0.022065,0.021299,0.037397,0.042653
11,0.091667,184,0.000931,-0.013523,0.019657,0.026884,0.016700,-0.007610,-0.031263,0.020314,0.024913,0.039368
11,0.091667,185,0.001917,-0.007939,0.019657,0.025570,0.021956,-0.009253,-0.028635,0.020642,0.002574,0.075176
11,0.091667,186,0.002574,-0.006953,0.024913,0.026227,0.023270,-0.013195,-0.029292,0.021299,0.014401,0.030169
11,0.091667,187,0.002245,-0.005639,0.023599,0.026556,0.017029,-0.012209,-0.030606,0.023270,-0.005639,0.014401
11,0.091667,188,0.002245,-0.005310,0.023928,0.023599,0.019657,-0.013195,-0.031592,0.019328,0.003560,0.011115
11,0.091667,189,-0.001697,-0.000711,0.022942,0.028527,0.019000,-0.011224,-0.031920,0.023928,0.027213,0.002574
11,0.091667,190,-0.001040,-0.006624,0.022613,0.024585,0.020642,-0.012866,-0.029949,0.021956,-0.007939,0.034112
11,0.091667,191,-0.000711,-0.007282,0.021956,0.026556,0.026556,-0.011552,-0.030278,0.021299,0.005531,-0.005310
12,0.100000,192,0.002902,-0.008924,0.023928,0.025242,0.013086,-0.007610,-0.027978,0.020642,0.001917,-0.000054
12,0.100000,193,0.008487,-0.006624,0.023928,0.025570,0.012758,-0.010567,-0.025021,0.010458,0.003231,0.001260
12,0.100000,194,-0.002354,0.002245,0.022942,0.024585,0.011115,-0.010238,-0.025350,0.024585,0.003888,-0.005639
12,0.100000,195,-0.000711,-0.007282,0.019328,0.032469,0.010130,-0.011224,-0.027650,0.023270,0.001917,-0.019108
